Country Name,Country Code,Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Latin America & Caribbean,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921
Angola,AGO,Sub-Saharan Africa,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202
Albania,ALB,Europe & Central Asia,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366
United Arab Emirates,ARE,Middle East & North Africa,3975945,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978
Argentina,ARG,Latin America & Caribbean,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304
Armenia,ARM,Europe & Central Asia,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192
Australia,AUS,East Asia & Pacific,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23125868
Austria,AUT,Europe & Central Asia,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375
Azerbaijan,AZE,Europe & Central Asia,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801
Burundi,BDI,Sub-Saharan Africa,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959
Belgium,BEL,Europe & Central Asia,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11182817
Benin,BEN,Sub-Saharan Africa,7922796,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232
Burkina Faso,BFA,Sub-Saharan Africa,13028039,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554
Bangladesh,BGD,South Asia,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394
Bulgaria,BGR,Europe & Central Asia,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115
Bahrain,BHR,Middle East & North Africa,807989,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427
"Bahamas, The",BHS,Latin America & Caribbean,322539,329243,335801,342259,348587,354780,360830,366711,372388,377841
Bosnia and Herzegovina,BIH,Europe & Central Asia,3825872,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533
Belarus,BLR,Europe & Central Asia,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000
Belize,BLZ,Latin America & Caribbean,276085,283279,290751,298403,306165,313925,321609,329193,336707,344193
Bolivia,BOL,Latin America & Caribbean,8967740,9125405,9283345,9441482,9599916,9758799,9918245,10078238,10238762,10399931
Brazil,BRA,Latin America & Caribbean,186116363,188479240,190698241,192784521,194769696,196701298,198614208,200517584,202401584,204259377
Barbados,BRB,Latin America & Caribbean,273091,274013,275040,276154,277315,278466,279566,280602,281580,282503
Brunei Darussalam,BRN,East Asia & Pacific,355700,361889,368150,374459,380786,387080,393302,399443,405512,411499
Bhutan,BTN,South Asia,634235,651163,666920,681471,694990,707830,720246,732246,743711,754637
Botswana,BWA,Sub-Saharan Africa,1835750,1864003,1895671,1930431,1967866,2007212,2047831,2089706,2132822,2176510
Central African Republic,CAF,Sub-Saharan Africa,3987896,4055608,4127112,4202104,4280405,4361492,4444973,4530903,4619500,4710678
Canada,CAN,North America,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304
Switzerland,CHE,Europe & Central Asia,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346
