Country Name,Country Code,Region ,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Latin America & Caribbean,Adjusted net national income per capita (current US$),18140.29818,19503.28028,16199.59485,20567.52698,19423.42895,23229.61361,21289.6466,19741.1498,19960.52121,21038.15112,20841.48947
Andorra,AND,Europe & Central Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,South Asia,Adjusted net national income per capita (current US$),0,0,0,0,0,0,385.8943993,477.3070093,517.448448,554.7792155,550.9567007
Angola,AGO,Sub-Saharan Africa,Adjusted net national income per capita (current US$),437.003981,440.7527975,563.9345955,856.9122101,819.6949892,367.194821,735.3808047,1108.338717,1494.240377,1789.733615,2113.866121
Albania,ALB,Europe & Central Asia,Adjusted net national income per capita (current US$),1743.114101,2232.469483,2500.857583,2808.973837,3333.99614,3961.899406,3622.330148,3530.690656,3853.165353,3644.843103,3937.277061
United Arab Emirates,ARE,Middle East & North Africa,Adjusted net national income per capita (current US$),29500.4259,32307.05429,33402.25584,35940.37152,36627.75152,37339.6362,27355.86388,30537.81694,34564.77824,36057.06658,38070.0702
Argentina,ARG,Latin America & Caribbean,Adjusted net national income per capita (current US$),2675.967837,3176.814458,3794.102817,4893.936048,6111.502302,7607.623017,6956.11565,8810.359213,11008.52459,11250.02138,11255.02138
Armenia,ARM,Europe & Central Asia,Adjusted net national income per capita (current US$),815.8586964,1047.8719,1475.613727,1959.746874,2886.893681,3742.40779,2723.946831,2918.101653,3138.262966,3274.122578,3509.206422
American Samoa,ASM,East Asia & Pacific,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,Adjusted net national income per capita (current US$),0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,East Asia & Pacific,Adjusted net national income per capita (current US$),18692.33705,24091.01179,26280.94334,27559.61245,30843.96869,37366.94047,32979.26224,39980.77299,47843.28688,52881.8056,52930.05827
Austria,AUT,Europe & Central Asia,Adjusted net national income per capita (current US$),26659.66672,30503.87539,31819.35887,33999.89118,39077.72145,43498.37128,39512.60002,38977.20713,42632.92867,40022.51845,41671.43331
Azerbaijan,AZE,Europe & Central Asia,Adjusted net national income per capita (current US$),651.5441168,739.6450732,941.5066521,1356.975769,2043.283122,3173.068794,3338.007123,3868.82852,4679.517951,5181.216604,5743.263637
Burundi,BDI,Sub-Saharan Africa,Adjusted net national income per capita (current US$),48.20587162,65.86510343,85.10330818,102.4058582,91.8018775,105.3761735,119.6613511,149.0493988,155.8471084,178.5315324,182.7131939
