Country Name,Country Code,Indicator Name,Region ,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,73.96856098,74.09085366,74.22807317,74.37570732,74.5262439,74.67421951,74.81614634,74.95202439,75.08039024,75.2067561,75.33217073
Andorra,AND,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,,,,,,,,,,,
Afghanistan,AFG,"Life expectancy at birth, total (years)",South Asia,SP.DYN.LE00.IN,56.10756098,56.56973171,57.05843902,57.57065854,58.09136585,58.60709756,59.11234146,59.60009756,60.06536585,60.50912195,60.93141463
Angola,AGO,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464,51.86617073
Albania,ALB,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,77.35046341,77.5372439
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",Middle East & North Africa,SP.DYN.LE00.IN,75.1244878,75.35573171,75.58195122,75.80012195,76.01121951,76.2147561,76.41070732,76.59860976,76.781,76.95787805,77.13129268
Argentina,ARG,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,74.35995122,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756,75.66356098,75.83860976,76.01268293,76.18729268
Armenia,ARM,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,72.61097561,72.97492683,73.28856098,73.54982927,73.76463415,73.94387805,74.09304878,74.21965854,74.33219512,74.43721951,74.5407561
American Samoa,ASM,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,,,,,,,,,,,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",Latin America & Caribbean,SP.DYN.LE00.IN,74.01921951,74.22204878,74.42185366,74.61609756,74.80478049,74.98687805,75.16241463,75.33390244,75.50036585,75.66531707,75.82929268
Australia,AUS,"Life expectancy at birth, total (years)",East Asia & Pacific,SP.DYN.LE00.IN,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.19756098
Austria,AUT,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,80.8902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",Europe & Central Asia,SP.DYN.LE00.IN,68.00368293,68.47019512,68.93726829,69.37473171,69.756,70.06292683,70.29265854,70.45029268,70.55129268,70.62495122,70.69314634
Burundi,BDI,"Life expectancy at birth, total (years)",Sub-Saharan Africa,SP.DYN.LE00.IN,49.15695122,49.55809756,50.007,50.49960976,51.02146341,51.55658537,52.09407317,52.62402439,53.13656098,53.6287561,54.09719512
