Country Name,Country Code,Region ,Indicator Name,Indicator Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Latin America & Caribbean,"Population, total",SP.POP.TOTL,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921
Andorra,AND,Europe & Central Asia,"Population, total",SP.POP.TOTL,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902
Afghanistan,AFG,South Asia,"Population, total",SP.POP.TOTL,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500
Angola,AGO,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202
Albania,ALB,Europe & Central Asia,"Population, total",SP.POP.TOTL,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366
United Arab Emirates,ARE,Middle East & North Africa,"Population, total",SP.POP.TOTL,3625798,3975945,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978
Argentina,ARG,Latin America & Caribbean,"Population, total",SP.POP.TOTL,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304
Armenia,ARM,Europe & Central Asia,"Population, total",SP.POP.TOTL,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192
American Samoa,ASM,East Asia & Pacific,"Population, total",SP.POP.TOTL,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302
Antigua and Barbuda,ATG,Latin America & Caribbean,"Population, total",SP.POP.TOTL,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985
Australia,AUS,East Asia & Pacific,"Population, total",SP.POP.TOTL,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23125868
Austria,AUT,Europe & Central Asia,"Population, total",SP.POP.TOTL,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375
Azerbaijan,AZE,Europe & Central Asia,"Population, total",SP.POP.TOTL,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801
Burundi,BDI,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,7401215,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959
Belgium,BEL,Europe & Central Asia,"Population, total",SP.POP.TOTL,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11182817
Benin,BEN,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,7665681,7922796,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232
Burkina Faso,BFA,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,12651596,13028039,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554
Bangladesh,BGD,South Asia,"Population, total",SP.POP.TOTL,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394
Bulgaria,BGR,Europe & Central Asia,"Population, total",SP.POP.TOTL,7823557,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888,7265115
Bahrain,BHR,Middle East & North Africa,"Population, total",SP.POP.TOTL,761595,807989,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427
"Bahamas, The",BHS,Latin America & Caribbean,"Population, total",SP.POP.TOTL,315757,322539,329243,335801,342259,348587,354780,360830,366711,372388,377841
Bosnia and Herzegovina,BIH,Europe & Central Asia,"Population, total",SP.POP.TOTL,3817313,3825872,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533
Belarus,BLR,Europe & Central Asia,"Population, total",SP.POP.TOTL,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000
